2025-01-19 23:09:00,337 - INFO - Script started.
2025-01-19 23:09:02,384 - INFO - Loaded 338025 tokens.
2025-01-19 23:09:02,384 - INFO - 1 epoch = 82 batches.
2025-01-19 23:09:03,012 - INFO - Starting training...
2025-01-19 23:09:03,978 - INFO - Step 0, Loss: 10.96817398071289
2025-01-19 23:09:05,617 - INFO - Step 1, Loss: 9.445795059204102
2025-01-19 23:09:07,117 - INFO - Step 2, Loss: 9.425582885742188
2025-01-19 23:09:08,598 - INFO - Step 3, Loss: 8.719521522521973
2025-01-19 23:09:10,096 - INFO - Step 4, Loss: 8.436491012573242
2025-01-19 23:09:11,579 - INFO - Step 5, Loss: 8.073562622070312
2025-01-19 23:09:13,067 - INFO - Step 6, Loss: 7.924860000610352
2025-01-19 23:09:14,673 - INFO - Step 7, Loss: 7.725032329559326
2025-01-19 23:09:16,371 - INFO - Step 8, Loss: 7.648287296295166
2025-01-19 23:09:18,236 - INFO - Step 9, Loss: 7.348138809204102
2025-01-19 23:09:19,923 - INFO - Step 10, Loss: 7.359038352966309
2025-01-19 23:09:21,578 - INFO - Step 11, Loss: 7.361432075500488
2025-01-19 23:09:23,221 - INFO - Step 12, Loss: 7.43705415725708
2025-01-19 23:09:24,866 - INFO - Step 13, Loss: 7.342714309692383
2025-01-19 23:09:26,471 - INFO - Step 14, Loss: 6.97465705871582
2025-01-19 23:09:28,093 - INFO - Step 15, Loss: 6.974205493927002
2025-01-19 23:09:29,698 - INFO - Step 16, Loss: 6.771080017089844
2025-01-19 23:09:31,277 - INFO - Step 17, Loss: 6.588798522949219
2025-01-19 23:09:32,872 - INFO - Step 18, Loss: 6.773490905761719
2025-01-19 23:09:34,474 - INFO - Step 19, Loss: 6.721819877624512
2025-01-19 23:09:36,062 - INFO - Step 20, Loss: 6.929704666137695
2025-01-19 23:09:37,691 - INFO - Step 21, Loss: 6.737112998962402
2025-01-19 23:09:39,348 - INFO - Step 22, Loss: 6.696335315704346
2025-01-19 23:09:40,987 - INFO - Step 23, Loss: 6.7681403160095215
2025-01-19 23:09:42,556 - INFO - Step 24, Loss: 6.786311626434326
2025-01-19 23:09:44,134 - INFO - Step 25, Loss: 6.782927989959717
2025-01-19 23:09:45,754 - INFO - Step 26, Loss: 6.594730377197266
2025-01-19 23:09:47,399 - INFO - Step 27, Loss: 6.656882286071777
2025-01-19 23:09:49,036 - INFO - Step 28, Loss: 6.671653747558594
2025-01-19 23:09:50,651 - INFO - Step 29, Loss: 6.502873420715332
2025-01-19 23:09:52,251 - INFO - Step 30, Loss: 6.4231414794921875
2025-01-19 23:09:53,891 - INFO - Step 31, Loss: 6.358520030975342
2025-01-19 23:09:55,623 - INFO - Step 32, Loss: 6.425586700439453
2025-01-19 23:09:57,263 - INFO - Step 33, Loss: 6.529349327087402
2025-01-19 23:09:58,890 - INFO - Step 34, Loss: 6.514594554901123
2025-01-19 23:10:00,452 - INFO - Step 35, Loss: 6.507362365722656
2025-01-19 23:10:02,035 - INFO - Step 36, Loss: 6.328754901885986
2025-01-19 23:10:03,547 - INFO - Step 37, Loss: 6.484099388122559
2025-01-19 23:10:05,076 - INFO - Step 38, Loss: 6.2956695556640625
2025-01-19 23:10:06,622 - INFO - Step 39, Loss: 6.125416278839111
2025-01-19 23:10:08,200 - INFO - Step 40, Loss: 6.23667049407959
2025-01-19 23:10:09,864 - INFO - Step 41, Loss: 6.328022003173828
2025-01-19 23:10:11,452 - INFO - Step 42, Loss: 6.175410270690918
2025-01-19 23:10:13,042 - INFO - Step 43, Loss: 6.174882888793945
2025-01-19 23:10:14,658 - INFO - Step 44, Loss: 6.323995113372803
2025-01-19 23:10:16,282 - INFO - Step 45, Loss: 6.2236552238464355
2025-01-19 23:10:17,886 - INFO - Step 46, Loss: 6.079808235168457
2025-01-19 23:10:19,544 - INFO - Step 47, Loss: 6.12405252456665
2025-01-19 23:10:21,201 - INFO - Step 48, Loss: 6.1378936767578125
2025-01-19 23:10:22,840 - INFO - Step 49, Loss: 6.0300068855285645
2025-01-19 23:10:24,446 - INFO - Step 50, Loss: 6.156793594360352
2025-01-19 23:10:26,120 - INFO - Step 51, Loss: 6.099234104156494
2025-01-19 23:10:27,691 - INFO - Step 52, Loss: 6.4987592697143555
2025-01-19 23:10:29,293 - INFO - Step 53, Loss: 6.439050674438477
2025-01-19 23:10:30,901 - INFO - Step 54, Loss: 6.2234907150268555
2025-01-19 23:10:32,489 - INFO - Step 55, Loss: 6.34399938583374
2025-01-19 23:10:34,125 - INFO - Step 56, Loss: 6.596752166748047
2025-01-19 23:10:35,805 - INFO - Step 57, Loss: 6.49857234954834
2025-01-19 23:10:37,452 - INFO - Step 58, Loss: 6.202686786651611
2025-01-19 23:10:39,186 - INFO - Step 59, Loss: 6.38111686706543
2025-01-19 23:10:40,832 - INFO - Step 60, Loss: 6.225552558898926
2025-01-19 23:10:42,440 - INFO - Step 61, Loss: 6.191147327423096
2025-01-19 23:10:44,072 - INFO - Step 62, Loss: 6.318873405456543
2025-01-19 23:10:45,667 - INFO - Step 63, Loss: 6.185871601104736
2025-01-19 23:10:47,140 - INFO - Step 64, Loss: 6.022752285003662
2025-01-19 23:10:48,674 - INFO - Step 65, Loss: 6.1964898109436035
2025-01-19 23:10:50,248 - INFO - Step 66, Loss: 6.416163444519043
2025-01-19 23:10:51,789 - INFO - Step 67, Loss: 6.312910556793213
2025-01-19 23:10:53,349 - INFO - Step 68, Loss: 6.265261650085449
2025-01-19 23:10:54,892 - INFO - Step 69, Loss: 6.060606002807617
2025-01-19 23:10:56,430 - INFO - Step 70, Loss: 5.946722507476807
2025-01-19 23:10:57,938 - INFO - Step 71, Loss: 6.30214786529541
2025-01-19 23:10:59,512 - INFO - Step 72, Loss: 6.256466865539551
2025-01-19 23:11:01,063 - INFO - Step 73, Loss: 6.034531593322754
2025-01-19 23:11:02,595 - INFO - Step 74, Loss: 6.076788902282715
2025-01-19 23:11:04,105 - INFO - Step 75, Loss: 6.23095703125
2025-01-19 23:11:05,665 - INFO - Step 76, Loss: 6.013425827026367
2025-01-19 23:11:07,191 - INFO - Step 77, Loss: 5.775819778442383
2025-01-19 23:11:08,740 - INFO - Step 78, Loss: 5.795950889587402
2025-01-19 23:11:10,316 - INFO - Step 79, Loss: 5.823063850402832
2025-01-19 23:11:11,840 - INFO - Step 80, Loss: 6.375652313232422
2025-01-19 23:11:13,398 - INFO - Step 81, Loss: 6.239651203155518
2025-01-19 23:11:14,938 - INFO - Step 82, Loss: 6.152862071990967
2025-01-19 23:11:16,500 - INFO - Step 83, Loss: 6.122288227081299
2025-01-19 23:11:18,097 - INFO - Step 84, Loss: 6.136491298675537
2025-01-19 23:11:19,657 - INFO - Step 85, Loss: 6.137667655944824
2025-01-19 23:11:21,199 - INFO - Step 86, Loss: 5.854381561279297
2025-01-19 23:11:22,753 - INFO - Step 87, Loss: 5.722204208374023
2025-01-19 23:11:24,242 - INFO - Step 88, Loss: 5.710493087768555
2025-01-19 23:11:25,835 - INFO - Step 89, Loss: 5.673422813415527
2025-01-19 23:11:27,383 - INFO - Step 90, Loss: 5.774465560913086
2025-01-19 23:11:28,928 - INFO - Step 91, Loss: 5.677098274230957
2025-01-19 23:11:30,487 - INFO - Step 92, Loss: 5.908725261688232
2025-01-19 23:11:32,010 - INFO - Step 93, Loss: 5.984436988830566
2025-01-19 23:11:33,582 - INFO - Step 94, Loss: 6.10186767578125
2025-01-19 23:11:35,134 - INFO - Step 95, Loss: 6.086414337158203
2025-01-19 23:11:36,674 - INFO - Step 96, Loss: 5.901780128479004
2025-01-19 23:11:38,204 - INFO - Step 97, Loss: 5.921873569488525
2025-01-19 23:11:39,710 - INFO - Step 98, Loss: 5.724576473236084
2025-01-19 23:11:41,267 - INFO - Step 99, Loss: 5.713559627532959
2025-01-19 23:11:42,811 - INFO - Step 100, Loss: 5.946715831756592
2025-01-19 23:11:44,385 - INFO - Step 101, Loss: 5.849236965179443
2025-01-19 23:11:45,935 - INFO - Step 102, Loss: 6.101315975189209
2025-01-19 23:11:47,466 - INFO - Step 103, Loss: 5.854483604431152
2025-01-19 23:11:48,987 - INFO - Step 104, Loss: 6.016170024871826
2025-01-19 23:11:50,515 - INFO - Step 105, Loss: 6.117079734802246
2025-01-19 23:11:52,045 - INFO - Step 106, Loss: 6.171558380126953
2025-01-19 23:11:53,619 - INFO - Step 107, Loss: 6.137894153594971
2025-01-19 23:11:55,187 - INFO - Step 108, Loss: 5.976765155792236
2025-01-19 23:11:56,767 - INFO - Step 109, Loss: 6.013365268707275
2025-01-19 23:11:58,309 - INFO - Step 110, Loss: 6.021303653717041
2025-01-19 23:11:59,854 - INFO - Step 111, Loss: 5.8925018310546875
2025-01-19 23:12:01,397 - INFO - Step 112, Loss: 5.77473783493042
2025-01-19 23:12:02,961 - INFO - Step 113, Loss: 5.6698737144470215
2025-01-19 23:12:04,464 - INFO - Step 114, Loss: 5.7687764167785645
2025-01-19 23:12:06,005 - INFO - Step 115, Loss: 5.911369323730469
2025-01-19 23:12:07,538 - INFO - Step 116, Loss: 5.928358554840088
2025-01-19 23:12:09,101 - INFO - Step 117, Loss: 5.886010646820068
2025-01-19 23:12:10,607 - INFO - Step 118, Loss: 5.710652828216553
2025-01-19 23:12:12,168 - INFO - Step 119, Loss: 5.885247707366943
2025-01-19 23:12:13,714 - INFO - Step 120, Loss: 5.698105335235596
2025-01-19 23:12:15,246 - INFO - Step 121, Loss: 5.512425422668457
2025-01-19 23:12:16,787 - INFO - Step 122, Loss: 5.647727012634277
2025-01-19 23:12:18,343 - INFO - Step 123, Loss: 5.766479969024658
2025-01-19 23:12:19,910 - INFO - Step 124, Loss: 5.596385955810547
2025-01-19 23:12:21,457 - INFO - Step 125, Loss: 5.6088385581970215
2025-01-19 23:12:23,016 - INFO - Step 126, Loss: 5.865034103393555
2025-01-19 23:12:24,585 - INFO - Step 127, Loss: 5.744431972503662
2025-01-19 23:12:26,137 - INFO - Step 128, Loss: 5.610146999359131
2025-01-19 23:12:27,690 - INFO - Step 129, Loss: 5.593786239624023
2025-01-19 23:12:29,250 - INFO - Step 130, Loss: 5.620944023132324
2025-01-19 23:12:30,791 - INFO - Step 131, Loss: 5.521583080291748
2025-01-19 23:12:32,324 - INFO - Step 132, Loss: 5.653504371643066
2025-01-19 23:12:33,832 - INFO - Step 133, Loss: 5.595834255218506
2025-01-19 23:12:35,375 - INFO - Step 134, Loss: 6.019219875335693
2025-01-19 23:12:36,910 - INFO - Step 135, Loss: 5.941331386566162
2025-01-19 23:12:38,450 - INFO - Step 136, Loss: 5.723322868347168
2025-01-19 23:12:39,994 - INFO - Step 137, Loss: 5.864714622497559
2025-01-19 23:12:41,540 - INFO - Step 138, Loss: 6.171663284301758
2025-01-19 23:12:43,065 - INFO - Step 139, Loss: 6.044315814971924
2025-01-19 23:12:44,615 - INFO - Step 140, Loss: 5.721144199371338
2025-01-19 23:12:46,161 - INFO - Step 141, Loss: 5.852272987365723
2025-01-19 23:12:47,734 - INFO - Step 142, Loss: 5.729109764099121
2025-01-19 23:12:49,314 - INFO - Step 143, Loss: 5.664519309997559
2025-01-19 23:12:50,856 - INFO - Step 144, Loss: 5.700072765350342
2025-01-19 23:12:52,385 - INFO - Step 145, Loss: 5.582193374633789
2025-01-19 23:12:53,940 - INFO - Step 146, Loss: 5.455442428588867
2025-01-19 23:12:55,521 - INFO - Step 147, Loss: 5.645569324493408
2025-01-19 23:12:57,073 - INFO - Step 148, Loss: 5.748129367828369
2025-01-19 23:12:58,560 - INFO - Step 149, Loss: 5.647787094116211
2025-01-19 23:13:00,094 - INFO - Step 150, Loss: 5.61085844039917
2025-01-19 23:13:01,647 - INFO - Step 151, Loss: 5.41013240814209
2025-01-19 23:13:03,173 - INFO - Step 152, Loss: 5.305430889129639
2025-01-19 23:13:04,744 - INFO - Step 153, Loss: 5.855144023895264
2025-01-19 23:13:06,315 - INFO - Step 154, Loss: 5.646256446838379
2025-01-19 23:13:07,857 - INFO - Step 155, Loss: 5.4265642166137695
2025-01-19 23:13:09,411 - INFO - Step 156, Loss: 5.482875347137451
2025-01-19 23:13:10,931 - INFO - Step 157, Loss: 5.632216930389404
2025-01-19 23:13:12,477 - INFO - Step 158, Loss: 5.459714889526367
2025-01-19 23:13:13,969 - INFO - Step 159, Loss: 5.197951316833496
2025-01-19 23:13:15,509 - INFO - Step 160, Loss: 5.174158573150635
2025-01-19 23:13:17,038 - INFO - Step 161, Loss: 5.199785232543945
2025-01-19 23:13:18,566 - INFO - Step 162, Loss: 5.913295269012451
2025-01-19 23:13:20,111 - INFO - Step 163, Loss: 5.7595672607421875
2025-01-19 23:13:21,671 - INFO - Step 164, Loss: 5.802906036376953
2025-01-19 23:13:23,243 - INFO - Step 165, Loss: 5.751256942749023
2025-01-19 23:13:24,838 - INFO - Step 166, Loss: 5.814992427825928
2025-01-19 23:13:26,358 - INFO - Step 167, Loss: 5.792802810668945
2025-01-19 23:13:27,904 - INFO - Step 168, Loss: 5.527656078338623
2025-01-19 23:13:29,430 - INFO - Step 169, Loss: 5.34684419631958
2025-01-19 23:13:30,947 - INFO - Step 170, Loss: 5.3505859375
2025-01-19 23:13:32,451 - INFO - Step 171, Loss: 5.313055038452148
2025-01-19 23:13:34,014 - INFO - Step 172, Loss: 5.421040058135986
2025-01-19 23:13:35,589 - INFO - Step 173, Loss: 5.287892818450928
2025-01-19 23:13:37,174 - INFO - Step 174, Loss: 5.525299072265625
2025-01-19 23:13:38,697 - INFO - Step 175, Loss: 5.561163902282715
2025-01-19 23:13:40,237 - INFO - Step 176, Loss: 5.623159408569336
2025-01-19 23:13:41,771 - INFO - Step 177, Loss: 5.612304210662842
2025-01-19 23:13:43,321 - INFO - Step 178, Loss: 5.442574977874756
2025-01-19 23:13:44,828 - INFO - Step 179, Loss: 5.465902328491211
2025-01-19 23:13:46,382 - INFO - Step 180, Loss: 5.253327369689941
2025-01-19 23:13:47,937 - INFO - Step 181, Loss: 5.2383317947387695
2025-01-19 23:13:49,490 - INFO - Step 182, Loss: 5.509287357330322
2025-01-19 23:13:51,023 - INFO - Step 183, Loss: 5.339563369750977
2025-01-19 23:13:52,600 - INFO - Step 184, Loss: 5.606701850891113
2025-01-19 23:13:54,178 - INFO - Step 185, Loss: 5.32237434387207
2025-01-19 23:13:55,740 - INFO - Step 186, Loss: 5.580236911773682
2025-01-19 23:13:57,270 - INFO - Step 187, Loss: 5.658825874328613
2025-01-19 23:13:58,743 - INFO - Step 188, Loss: 5.7275896072387695
2025-01-19 23:14:00,296 - INFO - Step 189, Loss: 5.697315692901611
2025-01-19 23:14:01,826 - INFO - Step 190, Loss: 5.5670084953308105
2025-01-19 23:14:03,349 - INFO - Step 191, Loss: 5.5973663330078125
2025-01-19 23:14:04,879 - INFO - Step 192, Loss: 5.607333183288574
2025-01-19 23:14:06,425 - INFO - Step 193, Loss: 5.49863338470459
2025-01-19 23:14:07,962 - INFO - Step 194, Loss: 5.370251655578613
2025-01-19 23:14:09,508 - INFO - Step 195, Loss: 5.301692962646484
2025-01-19 23:14:11,040 - INFO - Step 196, Loss: 5.41447639465332
2025-01-19 23:14:12,601 - INFO - Step 197, Loss: 5.554533004760742
